Tier,Ticker,Name,Beta_1Y,Downside_Capture_Pct,Upside_Capture_Pct,Sortino_Ratio,Vol_60D_Pct,MDD_24M_Pct,Above_200MA,Dividend_Yield_Pct,Recession_Composite_Pct,Counter_Cyclical_Strength,D1_RecessionFit_40w,D2_CounterCyclical_17p5w,D3_QualityFactor_17p5w,D4_VolDrawdown_17p5w,D5_MacroFit_7p5w,Total_Score,Signal,Recommended_Weight_Pct,Stop_Loss_Pct,Entry_Rationale
T1,XLP,Consumer Staples Sector SPDR,0.55,58,62,0.95,14.0,-12.0,Y,,62.25,78,82,78,85,80,70,80.6,FLIGHT_TO_QUALITY,8.0,-10%,비탄력 소비재 핵심. SPX -2% 이상 하락일 60일중 11회 양수 수익. FTQ 활성.
T1,XLU,Utilities Sector SPDR,0.50,55,58,1.05,15.0,-13.0,Y,,62.25,82,80,82,78,82,72,79.8,FLIGHT_TO_QUALITY,8.0,-10%,금리인하 사이클 + 채권프록시. CPI 3.8% 서프라이즈로 단기 추격 약점 존재.
T1,VPU,Vanguard Utilities ETF,0.50,56,58,1.02,15.0,-13.0,Y,,62.25,80,79,80,77,81,71,78.6,FLIGHT_TO_QUALITY,5.0,-10%,XLU 보완 분산. 운용보수 0.09%로 비용 우위.
T1,XLV,Health Care Sector SPDR,0.65,62,70,0.85,16.0,-14.0,Y,,62.25,72,75,72,82,75,65,75.0,FLIGHT_TO_QUALITY,6.0,-10%,헬스케어 디펜시브. 약가 정책 노이즈 잔존하나 카운터사이클 강세.
T1,VHT,Vanguard Healthcare ETF,0.66,63,70,0.83,16.0,-14.0,Y,,62.25,70,74,70,81,74,64,73.8,SATELLITE,3.0,-10%,XLV 보완. CORE 진입 임계 미달로 비중 축소.
T2,GLD,SPDR Gold Shares,0.10,30,50,1.20,16.0,-10.0,Y,,62.25,85,88,85,75,78,88,83.5,FLIGHT_TO_QUALITY,9.0,-10%,호르무즈 봉쇄 지정학 + 침체 헤지 이중 촉매. DXY 약세 동반.
T2,IAU,iShares Gold Trust,0.10,30,50,1.20,16.0,-10.0,Y,,62.25,84,87,84,75,78,87,82.8,FLIGHT_TO_QUALITY,3.0,-10%,GLD 보완. 보수 0.25%로 저렴하나 유동성은 GLD 우위.
T2,TLT,iShares 20+ Year Treasury Bond,-0.15,25,35,0.45,18.0,-22.0,Y,,62.25,88,85,88,65,60,80,77.3,FLIGHT_TO_QUALITY,8.0,-10%,침체기 듀레이션 헤지. 2026.04 CPI 재가속으로 단기 변동성 확대 — 강한 손절 준수 필요.
T2,IEF,iShares 7-10 Year Treasury Bond,-0.10,22,30,0.55,10.0,-12.0,Y,,62.25,82,78,82,70,78,75,77.1,FLIGHT_TO_QUALITY,6.0,-10%,중기 듀레이션. TLT 대비 변동성/MDD 절반 수준 안정성.
T2,SHV,iShares Short Treasury Bond,-0.02,5,8,1.50,1.0,-1.0,Y,,62.25,65,65,65,55,95,55,67.75,SATELLITE,2.0,-10%,단기 안전판. 캐시 부근 수익률 + 듀레이션 리스크 제로.
T2,BIL,SPDR 1-3 Month T-Bill,0.00,0,0,2.00,0.3,0.0,Y,,62.25,60,60,60,50,98,50,64.15,SATELLITE,2.0,-10%,현금성. 4%+ FFR 캐리 활용.
T3,WMT,Walmart Inc,0.55,58,70,1.15,17.0,-13.0,Y,1.0,62.25,75,80,75,86,78,70,79.1,FLIGHT_TO_QUALITY,3.0,-10%,침체기 trade-down 수혜. 그로서리 시장점유율 + e-com 성장.
