ticker,tier
AAPL,top50
MSFT,top50
NVDA,top50
GOOGL,top50
AMZN,top50
META,top50
TSLA,top50
AVGO,top50
AMD,top50
INTC,top50
QCOM,top50
TSM,top50
MU,top50
ASML,top50
ARM,top50
NFLX,top50
SHOP,top50
PLTR,top50
MSTR,top50
COIN,top50
HOOD,top50
JPM,top50
V,top50
MA,top50
BRK-B,top50
UNH,top50
LLY,top50
JNJ,top50
KO,top50
COST,top50
WMT,top50
MCD,top50
SBUX,top50
HD,top50
DIS,top50
XOM,top50
CVX,top50
BA,top50
SPY,top50
QQQ,top50
VOO,top50
IVV,top50
VTI,top50
DIA,top50
IWM,top50
TQQQ,top50
SCHD,top50
JEPI,top50
JEPQ,top50
SOXL,top50
ABBV,pool
ABNB,pool
ABT,pool
ADBE,pool
ADI,pool
ADSK,pool
AGG,pool
AMAT,pool
AMGN,pool
AMT,pool
ANSS,pool
APP,pool
ARKB,pool
ARKF,pool
ARKG,pool
ARKK,pool
ARKQ,pool
ARKW,pool
AXP,pool
BABA,pool
BAC,pool
BIIB,pool
BITO,pool
BITX,pool
BKNG,pool
BMY,pool
BND,pool
BOTZ,pool
C,pool
CAT,pool
CDNS,pool
CHTR,pool
CL,pool
CLSK,pool
CMCSA,pool
CMG,pool
COF,pool
COP,pool
CRM,pool
CRWD,pool
CSCO,pool
DASH,pool
DBC,pool
DDOG,pool
DE,pool
DHR,pool
DUOL,pool
DVY,pool
EEM,pool
EFA,pool
EMR,pool
EOG,pool
EQIX,pool
EWJ,pool
EWY,pool
EWZ,pool
F,pool
FBTC,pool
FDX,pool
FNGD,pool
FNGU,pool
FTNT,pool
FXI,pool
GBTC,pool
GD,pool
GE,pool
GFS,pool
GILD,pool
GLD,pool
GM,pool
GOOG,pool
GS,pool
HDV,pool
HON,pool
HUT,pool
HYG,pool
IAU,pool
IBIT,pool
IBM,pool
ICLN,pool
IEF,pool
INDA,pool
INTU,pool
ISRG,pool
JD,pool
KDP,pool
KHC,pool
KLAC,pool
LCID,pool
LI,pool
LIT,pool
LMT,pool
LOW,pool
LQD,pool
LRCX,pool
LULU,pool
LYFT,pool
MAR,pool
MARA,pool
MCHI,pool
MCHP,pool
MDB,pool
MDLZ,pool
MDT,pool
MDY,pool
MELI,pool
MMM,pool
MNST,pool
MO,pool
MPC,pool
MRK,pool
MRNA,pool
MRVL,pool
MS,pool
MUB,pool
NET,pool
NIO,pool
NKE,pool
NOC,pool
NOW,pool
NVO,pool
NXPI,pool
O,pool
OKTA,pool
ON,pool
ORCL,pool
OXY,pool
PANW,pool
PDD,pool
PEP,pool
PFE,pool
PG,pool
PINS,pool
PLD,pool
PM,pool
PSX,pool
PYPL,pool
QQQM,pool
RBLX,pool
REGN,pool
RIOT,pool
RIVN,pool
ROBO,pool
ROKU,pool
RTX,pool
SE,pool
SHY,pool
SIRI,pool
SLB,pool
SLV,pool
SMH,pool
SNAP,pool
SNOW,pool
SNPS,pool
SOFI,pool
SOXS,pool
SOXX,pool
SPG,pool
SPOT,pool
SPXU,pool
SQ,pool
SQQQ,pool
T,pool
TAN,pool
TBT,pool
TEAM,pool
TGT,pool
TLT,pool
TMF,pool
TMO,pool
TMUS,pool
TXN,pool
U,pool
UBER,pool
UNP,pool
UPRO,pool
UPS,pool
UPST,pool
USO,pool
UVXY,pool
VRTX,pool
VXUS,pool
VXX,pool
VYM,pool
VZ,pool
WBD,pool
WDAY,pool
WFC,pool
XLB,pool
XLC,pool
XLE,pool
XLF,pool
XLI,pool
XLK,pool
XLP,pool
XLRE,pool
XLU,pool
XLV,pool
XLY,pool
XPEV,pool
YUM,pool
ZS,pool
